date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:45:40	2294/2294	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2028%20Oct%202011%2007:45:39%20GMT	http://www.amaravati.org/robots.txt		(from )
08:45:40	1574/1574	---M--	200	added ('OK')	text/html	etag:%2218a69fdd-626-3f8de94fa6d00%22	http://www.amaravati.org/abm/english/documents/mindful/	./www.amaravati.org/abm/english/documents/mindful/index.html	(from )
08:45:40	4796/4796	---M--	200	added ('OK')	text/html	etag:%2218a69fdc-12bc-3f8de94fa6d00%22	http://www.amaravati.org/abm/english/documents/mindful/cont.html	./www.amaravati.org/abm/english/documents/mindful/cont.html	(from )
08:45:40	1574/1574	---M--	200	added ('OK')	text/html	etag:%2218a69fdd-626-3f8de94fa6d00%22	http://www.amaravati.org/abm/english/documents/mindful/index.html	./www.amaravati.org/abm/english/documents/mindful/index-2.html	(from http://www.amaravati.org/abm/english/documents/mindful/)
08:45:41	5668/5668	---M--	200	added ('OK')	text/html	etag:%2218a69fce-1624-3f8de948f9d40%22	http://www.amaravati.org/abm/english/documents/mindful/01intro.html	./www.amaravati.org/abm/english/documents/mindful/01intro.html	(from http://www.amaravati.org/abm/english/documents/mindful/)
08:45:41	6077/6077	---M--	200	added ('OK')	text/html	etag:%2218a69fcf-17bd-3f8de948f9d40%22	http://www.amaravati.org/abm/english/documents/mindful/02befo.html	./www.amaravati.org/abm/english/documents/mindful/02befo.html	(from http://www.amaravati.org/abm/english/documents/mindful/)
08:45:41	19777/19777	---M--	200	added ('OK')	text/html	etag:%2218a69fd0-4d41-3f8de949edf80%22	http://www.amaravati.org/abm/english/documents/mindful/03invt.html	./www.amaravati.org/abm/english/documents/mindful/03invt.html	(from http://www.amaravati.org/abm/english/documents/mindful/)
08:45:42	7303/7303	---M--	200	added ('OK')	text/html	etag:%2218a69fd1-1c87-3f8de949edf80%22	http://www.amaravati.org/abm/english/documents/mindful/04ins.html	./www.amaravati.org/abm/english/documents/mindful/04ins.html	(from http://www.amaravati.org/abm/english/documents/mindful/)
08:45:42	10002/10002	---M--	200	added ('OK')	text/html	etag:%2218a69fd2-2712-3f8de94ae21c0%22	http://www.amaravati.org/abm/english/documents/mindful/05ins2.html	./www.amaravati.org/abm/english/documents/mindful/05ins2.html	(from http://www.amaravati.org/abm/english/documents/mindful/)
08:45:43	13712/13712	---M--	200	added ('OK')	text/html	etag:%2218a69fd3-3590-3f8de94ae21c0%22	http://www.amaravati.org/abm/english/documents/mindful/06ins3.html	./www.amaravati.org/abm/english/documents/mindful/06ins3.html	(from http://www.amaravati.org/abm/english/documents/mindful/)
08:45:43	7913/7913	---M--	200	added ('OK')	text/html	etag:%2218a69fd4-1ee9-3f8de94bd6400%22	http://www.amaravati.org/abm/english/documents/mindful/07ins4.html	./www.amaravati.org/abm/english/documents/mindful/07ins4.html	(from http://www.amaravati.org/abm/english/documents/mindful/)
08:45:44	11216/11216	---M--	200	added ('OK')	text/html	etag:%2218a69fd5-2bd0-3f8de94bd6400%22	http://www.amaravati.org/abm/english/documents/mindful/08ins5.html	./www.amaravati.org/abm/english/documents/mindful/08ins5.html	(from http://www.amaravati.org/abm/english/documents/mindful/)
08:45:44	8253/8253	---M--	200	added ('OK')	text/html	etag:%2218a69fd6-203d-3f8de94bd6400%22	http://www.amaravati.org/abm/english/documents/mindful/09ins6.html	./www.amaravati.org/abm/english/documents/mindful/09ins6.html	(from http://www.amaravati.org/abm/english/documents/mindful/)
08:45:45	14110/14110	---M--	200	added ('OK')	text/html	etag:%2218a69fd7-371e-3f8de94cca640%22	http://www.amaravati.org/abm/english/documents/mindful/10ins7.html	./www.amaravati.org/abm/english/documents/mindful/10ins7.html	(from http://www.amaravati.org/abm/english/documents/mindful/)
08:45:45	12423/12423	---M--	200	added ('OK')	text/html	etag:%2218a69fd8-3087-3f8de94dbe880%22	http://www.amaravati.org/abm/english/documents/mindful/11ins8.html	./www.amaravati.org/abm/english/documents/mindful/11ins8.html	(from http://www.amaravati.org/abm/english/documents/mindful/)
08:45:45	12796/12796	---M--	200	added ('OK')	text/html	etag:%2218a69fd9-31fc-3f8de94dbe880%22	http://www.amaravati.org/abm/english/documents/mindful/12ins9.html	./www.amaravati.org/abm/english/documents/mindful/12ins9.html	(from http://www.amaravati.org/abm/english/documents/mindful/)
08:45:46	11685/11685	---M--	200	added ('OK')	text/html	etag:%2218a69fda-2da5-3f8de94eb2ac0%22	http://www.amaravati.org/abm/english/documents/mindful/13ins10.html	./www.amaravati.org/abm/english/documents/mindful/13ins10.html	(from http://www.amaravati.org/abm/english/documents/mindful/)
08:45:46	18803/18803	---M--	200	added ('OK')	text/html	etag:%2218a69fdb-4973-3f8de94eb2ac0%22	http://www.amaravati.org/abm/english/documents/mindful/14ref.html	./www.amaravati.org/abm/english/documents/mindful/14ref.html	(from http://www.amaravati.org/abm/english/documents/mindful/)
08:45:47	18583/18583	---M--	200	added ('OK')	image/gif	etag:%2218a69fde-4897-3f8de9509af40%22	http://www.amaravati.org/abm/english/documents/mindful/title.gif	./www.amaravati.org/abm/english/documents/mindful/title.gif	(from )
